Product_id,Stall_no,instock_date,Market_Category,Customer_name,Loyalty_customer,Product_Category,Grade,Demand,Discount_avail,charges_1,charges_2 (%),Minimum_price,Maximum_price,Selling_Price
BRAE2NF6JA5GUEXG,37,36:12.0,2,Lillyann,Yes,Fashion,1,68,0,376,11,2983,4713,4185.9477
TUNE8SFB6RJN2HSD,38,19:13.0,24,Klynn,Yes,Fashion,0,51,0,397,12,7495,10352,9271.490256
BRAEAR7WZPQGPBZU,9,25:22.0,447,Ridge,Yes,Child_care,0,10,0,250,9,5752,7309,6785.701362
WATDZ2ZQ8JPDHCTJ,50,53:01.0,23,Abran,Yes,Educational,2,48,0,144,13,5090,20814,13028.91782
JWSEBUKYQPMBZ3RK,7,58:53.0,63,Dustyn,Yes,Repair,1,35,1,211,4,2430,9261,906.553935
SHIECAYW3VZWGZGX,23,31:46.0,162,Brilee,No ,Technology,1,49,0,633,6,3959,6104,5631.247872
SHOE4FZGGTE7HJXN,33,25:52.0,462,Zoe,No ,Cosmetics,3,57,0,263,13,2006,5257,3874.264992
SHOE6QGAYFFMBWG6,4,29:06.0,23,Koby,Yes,Educational,1,67,0,104,15,3596,5921,4820.9436
KRTEBSMKCGFESHYX,26,48:01.0,156,Tiffani,Yes,Child_care,0,53,0,310,6,6965,10194,8837.72424
BRAE3P8Y8UVRY43K,5,16:52.0,275,Nigel,Yes,Child_care,0,84,1,321,8,1103,5430,530.7618624
PTPE4JYT3DUYHFTM,16,23:34.0,3,Yehoshua,Yes,Cosmetics,0,6,0,247,17,1573,2915,2494.560519
SUDEGGB5GCHTY53K,1,00:39.0,268,Juliano,Yes,Repair,2,22,0,274,1,3256,6033,4906.6626
TSHE5YZCKAZYG7MS,39,56:12.0,188,Abbi,Yes,Hospitality,0,68,0,253,11,2699,4909,4020.5682
GLSEHPS9CJATDCTY,45,40:07.0,186,Kingstyn,Yes,Cosmetics,0,38,1,291,17,3657,58812,4724.948025
KRTECQSZ85P8QKZU,46,43:21.0,358,Shia,Yes,Organic,3,39,0,117,9,7106,18697,12997.53473
CRTECN2QYG5PEBZC,15,32:44.0,24,,No ,Educational,0,16,0,129,10,2915,4273,3726.217341
